epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.9402,1.51858,3.98163,1.82871,0.00213,0.77778,0.24942,0.16302,1.15656,5.49318,1.49511,0.00037154,0.00037154,0.00037154
2,175.346,1.45885,3.26214,1.67326,0.00592,0.86111,0.16465,0.07445,1.77906,5.8108,1.79449,0.000738625,0.000738625,0.000738625
3,263.875,1.50601,3.28014,1.73171,0.00139,0.47222,0.0254,0.0078,2.83568,7.3062,2.75164,0.00108661,0.00108661,0.00108661
4,351.138,1.53782,2.92151,1.69995,0.26088,0.25,0.27977,0.1429,1.94908,5.0362,2.06274,0.0013229,0.0013229,0.0013229
5,439.988,1.57933,2.78946,1.71421,0.55876,0.3959,0.40986,0.25127,1.50462,4.8228,1.87132,0.00128753,0.00128753,0.00128753
6,528.3,1.52745,2.47319,1.65314,0.56057,0.13889,0.23194,0.12957,1.57643,4.91803,1.83171,0.00125216,0.00125216,0.00125216
7,617.635,1.52641,2.41775,1.65613,0.54212,0.55556,0.64569,0.38102,1.39876,5.23748,1.64748,0.00121679,0.00121679,0.00121679
8,706.412,1.41643,2.20734,1.57469,0.34867,0.41667,0.34966,0.1544,1.5566,5.59671,1.78963,0.00118143,0.00118143,0.00118143
9,795.489,1.42884,1.98358,1.54655,0.39666,0.30556,0.32825,0.18007,1.59498,5.02201,1.87741,0.00114606,0.00114606,0.00114606
10,884.274,1.45402,2.02142,1.57043,0.68674,0.81469,0.85376,0.56104,1.14688,2.30407,1.40324,0.00111069,0.00111069,0.00111069
11,973.285,1.37277,1.80896,1.52855,0.77952,0.79888,0.89239,0.61176,1.1832,2.08562,1.39531,0.00107532,0.00107532,0.00107532
12,1062.03,1.40755,1.8058,1.53472,0.6957,0.80497,0.86556,0.56067,1.21601,1.88457,1.4179,0.00103995,0.00103995,0.00103995
13,1150.98,1.35541,1.69526,1.54542,0.73953,0.86111,0.86834,0.54491,1.30371,1.93388,1.48408,0.00100459,0.00100459,0.00100459
14,1240.07,1.3569,1.62964,1.49472,0.74042,0.8384,0.87934,0.4968,1.37834,2.1653,1.59486,0.000969219,0.000969219,0.000969219
15,1330.6,1.34848,1.57658,1.46149,0.86954,0.83053,0.91646,0.62322,1.34178,1.64378,1.4629,0.000933851,0.000933851,0.000933851
16,1420.86,1.33672,1.54634,1.46789,0.98693,0.87623,0.95658,0.6053,1.35768,1.56151,1.57018,0.000898484,0.000898484,0.000898484
17,1511.43,1.31289,1.40011,1.43881,0.88371,0.90063,0.93837,0.63738,1.20127,1.43581,1.38727,0.000863116,0.000863116,0.000863116
18,1600.8,1.33468,1.38574,1.46779,0.9583,0.80621,0.92862,0.56619,1.40129,1.45045,1.58387,0.000827748,0.000827748,0.000827748
19,1690.39,1.24576,1.38956,1.41571,0.89857,0.82703,0.91748,0.61877,1.15627,1.36979,1.34684,0.00079238,0.00079238,0.00079238
20,1779.35,1.21605,1.28996,1.36452,0.83749,0.95804,0.97731,0.69868,1.07674,1.31777,1.29465,0.000757013,0.000757013,0.000757013
21,1868.51,1.22361,1.25733,1.39121,0.94556,0.91289,0.9775,0.70246,1.10084,1.14032,1.27939,0.000721645,0.000721645,0.000721645
22,1958.19,1.21288,1.17879,1.37197,0.98524,0.85504,0.95162,0.6003,1.24819,1.23422,1.39314,0.000686277,0.000686277,0.000686277
23,2049.24,1.16609,1.23029,1.36194,0.95089,0.96708,0.9909,0.72367,0.97048,1.0748,1.17734,0.000650909,0.000650909,0.000650909
24,2140,1.21447,1.21499,1.39479,0.98594,0.94133,0.97163,0.69322,1.05964,0.98267,1.26211,0.000615542,0.000615542,0.000615542
25,2229.06,1.18578,1.15434,1.37352,0.98073,0.92842,0.98586,0.69372,1.04542,0.99798,1.29051,0.000580174,0.000580174,0.000580174
26,2318.61,1.13043,1.06979,1.32463,0.96452,0.93202,0.97931,0.70528,1.08334,0.94143,1.29571,0.000544806,0.000544806,0.000544806
27,2409.31,1.06202,1.04346,1.29319,0.9654,0.98656,0.99295,0.70728,1.13753,0.97716,1.28065,0.000509438,0.000509438,0.000509438
28,2499.62,1.09898,1.07703,1.31465,0.99433,0.93816,0.98897,0.68904,1.16136,1.06645,1.3188,0.000474071,0.000474071,0.000474071
29,2589.47,1.09244,1.05482,1.28723,0.94375,0.99787,0.9909,0.71035,1.0763,0.8447,1.25255,0.000438703,0.000438703,0.000438703
30,2679.18,1.05856,0.98563,1.26067,0.95864,0.97498,0.995,0.73488,1.00194,0.8375,1.19956,0.000403335,0.000403335,0.000403335
31,2768.53,0.97904,0.87783,1.32264,0.98007,0.94707,0.99119,0.72943,1.10219,0.88913,1.24743,0.000367967,0.000367967,0.000367967
32,2857.65,0.93522,0.75849,1.27729,0.97791,0.9947,0.995,0.71473,1.05507,0.88995,1.23871,0.0003326,0.0003326,0.0003326
33,2946.36,0.89429,0.71098,1.22321,0.96494,0.95831,0.98967,0.73286,1.0029,0.84766,1.20803,0.000297232,0.000297232,0.000297232
34,3035.07,0.8296,0.67145,1.2117,0.9755,0.97904,0.995,0.75079,1.00082,0.82107,1.2363,0.000261864,0.000261864,0.000261864
35,3124.49,0.86404,0.65434,1.19946,0.98984,0.98814,0.995,0.72593,1.07451,0.77798,1.26508,0.000226497,0.000226497,0.000226497
36,3213.01,0.8093,0.63536,1.19472,0.98785,1,0.995,0.7377,0.99958,0.77311,1.21854,0.000191129,0.000191129,0.000191129
37,3303.55,0.79063,0.63293,1.17862,0.98911,1,0.995,0.74742,0.98786,0.74237,1.20196,0.000155761,0.000155761,0.000155761
38,3392.93,0.78381,0.61242,1.15944,0.98824,0.99618,0.995,0.72223,1.01295,0.74614,1.2355,0.000120393,0.000120393,0.000120393
39,3482.25,0.7151,0.59935,1.13752,0.98601,1,0.995,0.7355,1.00198,0.73296,1.22974,8.50255e-05,8.50255e-05,8.50255e-05
40,3571.41,0.71901,0.56873,1.12646,0.98707,1,0.995,0.73377,1.02138,0.71901,1.24055,4.96578e-05,4.96578e-05,4.96578e-05
